"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs"
"1","1",1413,131,203,220,169,1176,221,0,91,621,2,250,2,157,61,2149,309,53,256,215,169,"AGO_Okavango","Natural","Savanna","Southern","Angola",-13.1,18.2,1440,11,11,2,3,1
"2","2",1992,665,163,169,153,1459,225,4,65,605,31,349,115,108,72,671,233,85,148,166,153,"BDI_Bururi","Natural","Forest","Congolian","Burundi",-3.9383,29.5969,1880,43,8,2,1,0
"3","3",962,4,222,258,166,471,111,0,104,309,1,159,1,158,55,3809,346,63,283,252,166,"BWA_Xugana","Natural","Savanna","Southern","Botswana",-19.0833,23.05,1000,100,19,1,1,0
"4","4",384,96,251,258,244,1599,216,32,43,592,134,440,528,108,79,574,321,185,136,246,250,"CAF_Dzanga","Natural","Rainforest","Congolian","CAR",2.95,16.267,410,17,17,1,2,1
"5","5",423,18,271,297,255,1041,243,0,101,656,1,151,656,148,62,1795,390,155,235,255,266,"CAF_Floris","Natural","Savanna","Sudanian","CAR",9.3167,21.2,500,146,19,2,3,0
"6","6",508,193,239,246,231,1646,238,25,50,660,120,430,158,112,76,594,313,166,147,238,235,"CAF_Mbaiki","Mixed","Rainforest","Congolian","CAR",3.9,18,550,28,10,1,1,0
"7","7",218,51,272,291,256,1081,207,5,68,483,40,190,483,112,68,1325,358,195,163,256,274,"CIV_Comoe","Natural","Forest-savanna","Sudanian","Ivory_Coast",8.75,-3.817,200,2380,53,2,3,0
"8","8",142,90,257,265,243,2169,318,66,42,769,259,473,562,80,74,910,314,206,108,256,263,"CIV_Tai","Natural","Rainforest","Congolian","Ivory_Coast",5.083,-7.35,200,1555,36,2,3,0
"9","9",102,360,253,262,240,2964,561,28,70,1472,122,424,1472,77,76,845,311,210,101,240,259,"CMR_Cameroon1","Natural","Rainforest","Congolian","Cameroon",4.192,9.38,470,200,15,2,2,0
"10","10",979,2375,187,196,175,2790,476,29,67,1367,125,418,1367,82,78,796,244,140,104,175,192,"CMR_Cameroon2","Natural","Rainforest","Congolian","Cameroon",4.147,9.2026,1400,169,10,2,2,0
"11","11",979,2375,187,196,175,2790,476,29,67,1367,125,418,1367,82,78,796,244,140,104,175,192,"CMR_Cameroon3","Natural","Montane","Congolian","Cameroon",4.144,9.2026,1700,43,4,2,2,0
"12","12",1697,2557,156,165,144,2595,447,34,60,1158,144,449,1144,85,77,821,215,106,109,146,162,"CMR_Cameroon4","Natural","Montane","Congolian","Cameroon",4.146,9.169,2200,153,5,2,2,0
"13","13",666,45,234,241,227,1634,288,33,55,650,121,519,433,97,82,548,298,181,117,232,233,"CMR_Dja","Natural","Rainforest","Congolian","Cameroon",3.1,13,700,269,27,2,2,0
"14","14",418,95,282,313,262,798,246,0,123,581,0,82,581,137,63,2113,400,183,217,262,268,"CMR_Maroua","Natural","Savanna","Sudanian","Cameroon",10.597,14.315,400,404,16,1,1,0
"15","15",637,38,247,258,234,1576,287,5,70,748,34,254,624,97,75,935,322,194,128,237,255,"CMR_Mpem","Natural","Forest-savanna","Congolian","Cameroon",5.275,11.666,610,59,14,2,1,0
"16","16",775,57,244,249,238,1739,197,66,29,550,231,424,532,114,85,406,314,180,134,240,245,"COD_Epulu","Natural","Rainforest","Congolian","DR_Congo",1.3981,28.5687,770,76,6,1,1,0
"17","17",413,55,253,257,248,1584,210,13,52,575,76,529,76,105,79,402,313,181,132,251,248,"COD_Kitwit","Agricultural","Forest-savanna","Congolian","DR_Congo",-5.0579,18.9092,450,541,20,1,1,0
"18","18",444,21,250,255,243,1823,235,70,32,616,269,524,269,103,88,454,309,193,116,249,243,"COD_Lomami","Natural","Rainforest","Congolian","DR_Congo",-1.3832,25.0387,460,69,8,1,1,0
"19","19",419,85,247,252,240,1761,225,76,29,605,281,415,468,98,83,467,310,192,118,244,249,"COD_Yangambi","Natural","Rainforest","Congolian","DR_Congo",0.7596,24.4753,450,55,6,1,1,0
"20","20",589,36,280,300,263,960,248,0,116,659,0,74,659,159,71,1404,400,179,221,263,276,"ETH_Alatish","Natural","Savanna","Sudanian","Ethiopia",12.3,35.7667,590,119,20,1,1,0
"21","21",1333,246,223,234,206,615,89,6,57,249,32,218,32,134,76,1068,303,127,176,228,206,"ETH_Babille","Natural","Montane","Somalian","Ethiopia",9.15,42.267,1220,23,8,1,1,0
"22","22",1922,371,180,189,169,989,158,12,58,380,68,380,75,150,77,795,274,81,193,189,174,"ETH_Bale","Natural","Montane","Ethiopian","Ethiopia",6.633,39.733,1900,17,7,2,2,0
"23","23",1949,660,183,195,176,1771,257,32,56,747,125,473,237,151,79,781,277,86,191,178,181,"ETH_Beletta","Natural","Montane","Ethiopian","Ethiopia",7.533,36.55,2050,30,9,2,2,0
"24","24",1277,503,211,218,204,1416,253,15,74,710,70,123,326,145,86,562,301,134,167,205,215,"ETH_Godare","Natural","Montane","Ethiopian","Ethiopia",7.283,35.267,1360,18,18,1,1,1
"25","25",3115,1526,112,129,98,978,304,3,122,693,9,224,49,141,73,1159,209,16,193,115,104,"ETH_Simien","Natural","Montane","Ethiopian","Ethiopia",13.2333,38.05,3250,2,2,1,1,1
"26","26",86,74,261,271,243,2050,381,5,69,910,31,695,31,94,71,1122,323,192,131,264,243,"GAB_Maboumine","Natural","Rainforest","Congolian","Gabon",-0.7541,10.5508,60,79,19,2,1,0
"27","27",703,321,233,248,223,1907,327,15,63,875,94,315,875,133,68,1013,331,138,193,223,232,"GIN_Bero","Natural","Forest-savanna","Congolian","Guinea",8.133,-8.567,600,119,18,1,1,0
"28","28",389,121,246,252,239,2113,391,16,64,979,107,432,847,146,71,622,346,142,204,240,242,"GIN_Diecke","Natural","Forest-savanna","Congolian","Guinea",7.5,-8.83,400,118,16,1,1,0
"29","29",475,42,256,283,236,1511,311,1,92,855,8,231,36,173,62,1792,384,109,275,249,237,"GIN_Niger","Natural","Savanna","Sudanian","Guinea",10.1,-10.4,450,18,18,1,1,1
"30","30",551,455,239,251,228,2006,361,16,65,951,101,311,951,138,69,913,338,140,198,228,238,"GIN_Nimba1","Natural","Forest-savanna","Congolian","Guinea",7.6296,-8.4619,800,93,12,2,1,0
"31","31",850,698,223,237,212,2004,359,19,63,935,110,330,820,131,69,966,321,133,188,212,225,"GIN_Nimba2","Natural","Montane","Congolian","Guinea",7.6607,-8.3713,1500,70,7,2,1,0
"32","32",738,484,233,245,226,2119,344,15,63,993,97,330,993,138,69,867,333,134,199,226,231,"GIN_Simandou1","Natural","Forest-savanna","Sudanian","Guinea",8.497,-8.913,750,245,27,2,1,0
"33","33",1031,399,218,231,210,2081,343,16,63,974,97,325,974,133,68,920,317,124,193,210,217,"GIN_Simandou2","Natural","Montane","Sudanian","Guinea",8.549,-8.899,1100,341,20,2,1,0
"34","34",562,332,238,247,231,2457,421,18,63,1173,122,513,208,151,70,713,343,129,214,233,233,"GIN_Ziama1","Natural","Forest-savanna","Congolian","Guinea",8.25,-9.25,600,30,30,1,1,1
"35","35",562,332,238,247,231,2457,421,18,63,1173,122,513,208,151,70,713,343,129,214,233,233,"GIN_Ziama2","Natural","Forest-savanna","Congolian","Guinea",8.25,-9.25,600,67,19,1,1,0
